run_name,reward_type,n_steps,learning_rate,batch_size,gamma,ent_coef,clip_range,n_epochs,total_timesteps,train_seconds,mean_reward,success_rate,num_successes,num_eval_episodes,model_path
run_01_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,1024,0.0003,64,0.99,0.0,0.2,10,300000,332.39,-31.8116411825642,0.2,20,100,saved_kuka_models_grid/s1_run_01_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_02_reward-basic_nsteps-1024_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,1024,0.0001,64,0.99,0.0,0.2,10,300000,286.03,-37.394869829900564,0.05,5,100,saved_kuka_models_grid/s1_run_02_reward-basic_nsteps-1024_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_03_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,2048,0.0003,64,0.99,0.0,0.2,10,300000,290.2,-36.73585000937805,0.1,10,100,saved_kuka_models_grid/s1_run_03_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_04_reward-basic_nsteps-2048_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,2048,0.0001,64,0.99,0.0,0.2,10,300000,289.24,-35.21547035191208,0.13,13,100,saved_kuka_models_grid/s1_run_04_reward-basic_nsteps-2048_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_05_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10,basic,1024,0.0003,64,0.99,0.01,0.2,10,300000,291.7,-35.01247626908123,0.13,13,100,saved_kuka_models_grid/s1_run_05_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10.zip
run_06_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10,basic,2048,0.0003,64,0.99,0.01,0.2,10,300000,327.09,-39.04323189537972,0.09,9,100,saved_kuka_models_grid/s1_run_06_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10.zip
run_07_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10,basic,1024,0.0003,64,0.99,0.0,0.1,10,300000,297.08,-28.086299672890455,0.3,30,100,saved_kuka_models_grid/s1_run_07_reward-basic_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10.zip
run_08_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10,basic,2048,0.0003,64,0.99,0.0,0.1,10,300000,294.98,-39.74322233770042,0.04,4,100,saved_kuka_models_grid/s1_run_08_reward-basic_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10.zip
run_09_reward-basic_nsteps-1024_lr-0p0003_batch-128_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,1024,0.0003,128,0.99,0.0,0.2,10,300000,222.06,-36.101747637204824,0.11,11,100,saved_kuka_models_grid/s1_run_09_reward-basic_nsteps-1024_lr-0p0003_batch-128_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_10_reward-basic_nsteps-2048_lr-0p0003_batch-128_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,basic,2048,0.0003,128,0.99,0.0,0.2,10,300000,221.39,-42.12798553623259,0.06,6,100,saved_kuka_models_grid/s1_run_10_reward-basic_nsteps-2048_lr-0p0003_batch-128_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_11_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,advanced,1024,0.0003,64,0.99,0.0,0.2,10,300000,293.66,73.22847326226533,0.05,5,100,saved_kuka_models_grid/s1_run_11_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_12_reward-advanced_nsteps-1024_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,advanced,1024,0.0001,64,0.99,0.0,0.2,10,300000,294.84,63.561033536344766,0.11,11,100,saved_kuka_models_grid/s1_run_12_reward-advanced_nsteps-1024_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_13_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,advanced,2048,0.0003,64,0.99,0.0,0.2,10,300000,292.39,76.33981802066788,0.05,5,100,saved_kuka_models_grid/s1_run_13_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_14_reward-advanced_nsteps-2048_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10,advanced,2048,0.0001,64,0.99,0.0,0.2,10,300000,294.13,94.86421153573319,0.11,11,100,saved_kuka_models_grid/s1_run_14_reward-advanced_nsteps-2048_lr-0p0001_batch-64_gamma-0p99_ent-0p0_clip-0p2_nepochs-10.zip
run_15_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10,advanced,1024,0.0003,64,0.99,0.01,0.2,10,300000,293.93,118.8180043031089,0.08,8,100,saved_kuka_models_grid/s1_run_15_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10.zip
run_16_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10,advanced,2048,0.0003,64,0.99,0.01,0.2,10,300000,291.78,139.99488414253108,0.12,12,100,saved_kuka_models_grid/s1_run_16_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p01_clip-0p2_nepochs-10.zip
run_17_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10,advanced,1024,0.0003,64,0.99,0.0,0.1,10,300000,290.29,169.4482341463864,0.31,31,100,saved_kuka_models_grid/s1_run_17_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10.zip
run_18_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10,advanced,2048,0.0003,64,0.99,0.0,0.1,10,300000,291.88,30.40206652706489,0.07,7,100,saved_kuka_models_grid/s1_run_18_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p99_ent-0p0_clip-0p1_nepochs-10.zip
run_19_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p995_ent-0p0_clip-0p2_nepochs-10,advanced,1024,0.0003,64,0.995,0.0,0.2,10,300000,300.22,166.9003850371018,0.04,4,100,saved_kuka_models_grid/s1_run_19_reward-advanced_nsteps-1024_lr-0p0003_batch-64_gamma-0p995_ent-0p0_clip-0p2_nepochs-10.zip
run_20_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p995_ent-0p0_clip-0p2_nepochs-10,advanced,2048,0.0003,64,0.995,0.0,0.2,10,300000,295.02,69.43664700755849,0.09,9,100,saved_kuka_models_grid/s1_run_20_reward-advanced_nsteps-2048_lr-0p0003_batch-64_gamma-0p995_ent-0p0_clip-0p2_nepochs-10.zip
